Year,Quarter,Area of Residence,Reason for Journey,Visitor Stay Avg,Visitor Spending,Overnight Tourist Trips
2019,3,Italy,Holiday/leisure/recreation,7.7,66.0,5.0
2019,4,Italy,Holiday/leisure/recreation,5.0,17.0,4.0
2012,1,Italy,Other reason for journey,10.9,1.0,5.0
2012,2,Italy,Other reason for journey,13.0,6.0,13.0
2012,3,Italy,Other reason for journey,14.3,16.0,26.0
2012,4,Italy,Other reason for journey,17.2,5.0,14.0
2013,1,Italy,Other reason for journey,18.9,2.0,6.0
2013,2,Italy,Other reason for journey,10.3,12.0,13.0
2013,3,Italy,Other reason for journey,18.8,18.0,15.0
2013,4,Italy,Other reason for journey,20.7,3.0,7.0
2014,1,Italy,Other reason for journey,8.2,4.0,5.0
2014,2,Italy,Other reason for journey,33.7,12.0,5.0
2014,3,Italy,Other reason for journey,15.7,28.0,25.0
2014,4,Italy,Other reason for journey,24.9,7.0,8.0
2015,1,Italy,Other reason for journey,15.2,6.0,12.0
2015,2,Italy,Other reason for journey,27.3,6.0,6.0
2015,3,Italy,Other reason for journey,15.7,24.0,19.0
2015,4,Italy,Other reason for journey,22.9,4.0,7.0
2016,1,Italy,Other reason for journey,10.5,6.0,9.0
